Claims,Key Points
Nonsurgical ear-loop masks are useless at offering protection from COVID-19,"{'main': 'Nonsurgical ear-loop masks are useless at offering protection from COVID-19', 'combined': ['The lack of a tight seal around the face, combined with the gaps between the mask and face, allows airborne pathogens like COVID-19 to enter and exit, making the masks ineffective.'], 'single': ['Nonsurgical ear-loop masks do not provide a tight seal around the face.', 'The gaps between the mask and face allow airborne pathogens to enter and exit.', 'Nonsurgical ear-loop masks are not designed to filter out small airborne particles like COVID-19.']}"
N95 masks blow the virus into the air from a contaminated person.,"{'main': 'N95 masks blow the virus into the air from a contaminated person.', 'combined': ['N95 masks are not designed to filter exhaled breath, which means they can still spread the virus into the air from a contaminated person.'], 'single': ['N95 masks do not filter exhaled breath', 'N95 masks do not prevent the spread of the virus from the wearer', 'The virus can be blown into the air from a contaminated person wearing an N95 mask']}"
Homework spelled backward translate to child abuse in Latin,"{'main': 'Homework spelled backward translate to child abuse in Latin', 'combined': [""'Krowemoh', the reverse of 'homework', has a Latin translation."", ""The Latin translation of 'krowemoh' is disturbingly 'abuse child'.""], 'single': ["" Homework spelled backward is 'krowemoh'."", ""'Krowemoh' can be translated to Latin."", ""In Latin, 'krowemoh' translates to 'abuse child'.""]}"
Manny Pacquiao has been disqualified in the 2022 presidential election.,"{'main': 'Manny Pacquiao has been disqualified in the 2022 presidential election.', 'combined': [], 'single': ['Manny Pacquiao was a candidate in the 2022 presidential election.', 'He has been disqualified from the election.']}"
Kazakhstan has a multiparty democratic system and open civil society.,"{'main': 'Kazakhstan has a multiparty democratic system and open civil society.', 'combined': [""Kazakhstan's multiparty system allows for diverse political representation, which is supported by an open civil society that enables citizens to engage in the democratic process.""], 'single': ['Kazakhstan has a multiparty system.', 'Kazakhstan has an open civil society.']}"
"The Indian Government has approved and have started giving out free R7,500 Relief Funds to each citizen.","{'main': 'The Indian Government has approved and have started giving out free R7,500 Relief Funds to each citizen.', 'combined': ['The Indian Government has approved a program to give out R7,500 to each citizen for free.'], 'single': ['The Indian Government has approved a relief fund program.', 'The program provides a fixed amount of R7,500 to each citizen.', 'The relief funds are being given out for free.']}"
Kenya has roped in the Maasai Tribe to enforce a lockdown.,"{'main': 'Kenya has roped in the Maasai Tribe to enforce a lockdown.', 'combined': ['The Kenyan authorities have implemented a lockdown and involved the Maasai Tribe in its enforcement.'], 'single': ['Kenya has implemented a lockdown.', 'The Maasai Tribe is involved in enforcing the lockdown.', 'The Maasai Tribe has been roped in by the Kenyan authorities.']}"
Microsoft cofounder Bill Gates said Be nice to nerds. Chances are you'll end up working for one.,"{'main': ""Microsoft cofounder Bill Gates said Be nice to nerds. Chances are you'll end up working for one."", 'combined': [""Bill Gates' advice to be nice to nerds is rooted in the possibility that they may hold power in the future, making kindness a valuable investment.""], 'single': [""Bill Gates said 'Be nice to nerds'"", 'Nerds are likely to be in positions of authority', 'Treating nerds with kindness may have future benefits']}"
The laws in the UK have been changed because of Covid-19 so that you can be forcibly vaccinated and that it is an offence to ask what’s in the vaccine. The Control of Diseases Act in the UK changed on 27 April.,"{'main': 'The laws in the UK have been changed because of Covid-19 so that you can be forcibly vaccinated and that it is an offence to ask what’s in the vaccine. The Control of Diseases Act in the UK changed on 27 April.', 'combined': [""Forcible vaccination is now allowed in the UK, and it is an offence to ask about the vaccine's ingredients."", 'The Control of Diseases Act in the UK was changed on 27 April, allowing for forcible vaccination and restricting inquiries about vaccine ingredients.'], 'single': ['The laws in the UK have been changed due to Covid-19.', 'Forcible vaccination is now allowed in the UK.', ""It is an offence to ask about the vaccine's ingredients in the UK."", 'The Control of Diseases Act in the UK was changed on 27 April.']}"
CDC Admits Only 6% of Recorded Deaths from COVID-19,"{'main': 'CDC Admits Only 6% of Recorded Deaths from COVID-19', 'combined': [""The CDC's data reveals that a small percentage of recorded deaths, specifically 6%, were solely caused by COVID-19, while the majority had underlying health conditions or other factors contributing to the death.""], 'single': ['The CDC has released data on COVID-19 deaths.', 'Only 6% of recorded deaths were solely due to COVID-19.', 'The remaining 94% of deaths had underlying health conditions or other factors contributing to the death.']}"
UK Daily Covid-19 deaths dropped to “just” seven on Saturday 10 April 2021.,"{'main': 'UK Daily Covid-19 deaths dropped to “just” seven on Saturday 10 April 2021.', 'combined': [], 'single': ['UK Daily Covid-19 deaths dropped on Saturday 10 April 2021.', 'The number of daily Covid-19 deaths was seven on that day.']}"
"PETA, a U.S.-based animal rights organization, called for a ban of the Instagram page @SavageHunts.","{'main': 'PETA, a U.S.-based animal rights organization, called for a ban of the Instagram page @SavageHunts.', 'combined': [], 'single': ['PETA is a U.S.-based animal rights organization.', 'PETA called for a ban of the Instagram page @SavageHunts.']}"
Face masks restrict breathing.,"{'main': 'Face masks restrict breathing.', 'combined': ['Face masks can reduce airflow and increase breathing resistance, making it harder to breathe', 'Face masks can cause CO2 rebreathing, which can lead to respiratory distress when combined with reduced airflow'], 'single': ['Face masks can reduce airflow', 'Face masks can increase breathing resistance', 'Face masks can cause CO2 rebreathing']}"
Face masks do not prevent the transmission of Covid-19.,"{'main': 'Face masks do not prevent the transmission of Covid-19.', 'combined': ['The combination of face masks not filtering out all viral particles and the primary mode of Covid-19 transmission being through close contact and airborne droplets suggests that masks are not an effective barrier against transmission.', 'The combination of masks providing a false sense of security and the primary mode of Covid-19 transmission being through close contact and airborne droplets implies that masks may even hinder other preventive measures.'], 'single': ['Face masks do not filter out all viral particles.', 'The primary mode of Covid-19 transmission is through close contact and airborne droplets.', 'Masks may provide a false sense of security, leading to reduced adherence to other preventive measures.']}"
SNP has channelled public funding to voluntary groups that advocate lowering the age of consent to 10,"{'main': 'SNP has channelled public funding to voluntary groups that advocate lowering the age of consent to 10', 'combined': [], 'single': ['SNP has channelled public funding to voluntary groups', 'These voluntary groups advocate lowering the age of consent to 10']}"
"During the final days of the Trump presidency, House Rep. Matt Gaetz (R-Fla.) privately pursued a blanket pardon from then-President Donald Trump, while the U.S. Department of Justice (DOJ), under Trump appointee William Barr, was launching a concurrent investigation into an alleged sexual assault of a minor by the congressman.","{'main': 'During the final days of the Trump presidency, House Rep. Matt Gaetz (R-Fla.) privately pursued a blanket pardon from then-President Donald Trump, while the U.S. Department of Justice (DOJ), under Trump appointee William Barr, was launching a concurrent investigation into an alleged sexual assault of a minor by the congressman.', 'combined': ['House Rep. Matt Gaetz privately pursued a blanket pardon from then-President Donald Trump while the DOJ, led by Trump appointee William Barr, was investigating him for alleged sexual assault of a minor.'], 'single': ['House Rep. Matt Gaetz privately pursued a blanket pardon from then-President Donald Trump.', 'The U.S. Department of Justice (DOJ) was launching a concurrent investigation into an alleged sexual assault of a minor by the congressman.', 'William Barr was a Trump appointee leading the DOJ during the investigation.']}"
Crowded picture of Chhatrapati Shivaji Maharaj Terminus claimed to be taken on 7th April 2021 during covid pandemic.,"{'main': 'Crowded picture of Chhatrapati Shivaji Maharaj Terminus claimed to be taken on 7th April 2021 during covid pandemic.', 'combined': ['The picture, taken on 7th April 2021, shows a crowded Chhatrapati Shivaji Maharaj Terminus during the covid pandemic.'], 'single': ['The picture is of Chhatrapati Shivaji Maharaj Terminus.', 'The picture is crowded.', 'The picture was taken on 7th April 2021.', 'The picture was taken during the covid pandemic.']}"
Prince Harry's son Archie isn't a prince because of a rule established by King George V.,"{'main': ""Prince Harry's son Archie isn't a prince because of a rule established by King George V."", 'combined': [], 'single': ['Archie is not a prince.', 'This is due to a rule established by King George V.']}"
Quebec is exempt from carbon pricing.,"{'main': 'Quebec is exempt from carbon pricing.', 'combined': [""Quebec's exemption from federal carbon pricing is due to its own cap-and-trade system for greenhouse gas emissions.""], 'single': ['Quebec has its own carbon pricing system.', ""Quebec's system is not subject to the federal carbon pricing policy."", 'Quebec has a cap-and-trade system for greenhouse gas emissions.']}"
"Joe Biden rushed to the hospital on April 5, 2021.","{'main': 'Joe Biden rushed to the hospital on April 5, 2021.', 'combined': [], 'single': ['Joe Biden went to the hospital.', 'The event occurred on April 5, 2021.']}"
Masks were no longer mandatory in Ohio from April 5th 2021.,"{'main': 'Masks were no longer mandatory in Ohio from April 5th 2021.', 'combined': [], 'single': ['Masks were no longer mandatory in Ohio', 'The change occurred on April 5th 2021']}"
A photo shows that hand sanitiser is poison because it degrades metal.,"{'main': 'A photo shows that hand sanitiser is poison because it degrades metal.', 'combined': [], 'single': ['The photo shows hand sanitizer degrading metal.', 'Hand sanitizer is being claimed to be poison based on this observation.']}"
U.S. Special Forces Arrest John Podesta and Huma Abedin,"{'main': 'U.S. Special Forces Arrest John Podesta and Huma Abedin', 'combined': [], 'single': ['U.S. Special Forces made an arrest', 'The arrestees were John Podesta and Huma Abedin']}"
A student from Pondicherry University has discovered a cure for COVID-19.,"{'main': 'A student from Pondicherry University has discovered a cure for COVID-19.', 'combined': [], 'single': ['A student from Pondicherry University has made a discovery.', 'The discovery is related to a cure for COVID-19.']}"
KANYE WEST BUYS SPOTIFY,"{'main': 'KANYE WEST BUYS SPOTIFY', 'combined': ['Kanye West is acquiring Spotify, a music streaming platform, in a significant transaction.'], 'single': ['Kanye West is involved in a significant transaction.', 'The transaction involves Spotify, a music streaming platform.', 'Kanye West is acquiring or buying Spotify.']}"
Philippines President Rodrigo Duterte is enraged at Health Secretary Francisco Duque III over ivermectin drug controversy amid current health crisis.,"{'main': 'Philippines President Rodrigo Duterte is enraged at Health Secretary Francisco Duque III over ivermectin drug controversy amid current health crisis.', 'combined': ['Philippines President Rodrigo Duterte is enraged at Health Secretary Francisco Duque III over ivermectin drug controversy', ""Philippines President Rodrigo Duterte's anger is triggered by the ivermectin drug controversy amid current health crisis""], 'single': ['Philippines President Rodrigo Duterte is enraged', 'Health Secretary Francisco Duque III is involved', 'Ivermectin drug controversy is the reason', 'Current health crisis is the context']}"
"Rwanda's president, Paul Kagame, ordered deportation of 18 Chinese nationals.","{'main': ""Rwanda's president, Paul Kagame, ordered deportation of 18 Chinese nationals."", 'combined': [""Paul Kagame, Rwanda's president, ordered a deportation."", 'The deportation ordered by Paul Kagame involved Chinese nationals.'], 'single': [""Rwanda's president is Paul Kagame."", 'Paul Kagame ordered a deportation.', 'The deportation involved 18 individuals.', 'These individuals were Chinese nationals.']}"
"Just Giving has kept a large percentage of the funds raised by Captain Tom Moore for the NHS, some say they have kept £2 million.","{'main': 'Just Giving has kept a large percentage of the funds raised by Captain Tom Moore for the NHS, some say they have kept £2 million.', 'combined': ['Just Giving has kept a large percentage of the funds, including possibly £2 million, that were raised by Captain Tom Moore for the NHS'], 'single': ['Just Giving has kept a large percentage of the funds raised by Captain Tom Moore', 'The funds were raised for the NHS', 'Some people claim that Just Giving has kept £2 million']}"
Work is already in progress by the Delhi government towards establishing the first virtual school in India.,"{'main': 'Work is already in progress by the Delhi government towards establishing the first virtual school in India.', 'combined': [], 'single': ['Work is in progress by the Delhi government', 'The goal is to establish the first virtual school in India']}"
Assam has the highest unemployment rate in India.,"{'main': 'Assam has the highest unemployment rate in India.', 'combined': [], 'single': ['Assam has the highest unemployment rate in India.', 'Unemployment is a significant issue in Assam.']}"
The vaccine causes the body to produce the spike protein so by the time you get your fourth shot your body will be making all four proteins that make up the COVID-19 virus.,"{'main': 'The vaccine causes the body to produce the spike protein so by the time you get your fourth shot your body will be making all four proteins that make up the COVID-19 virus.', 'combined': [""The vaccine's repeated administration, up to the fourth shot, leads to the production of all four proteins that comprise the COVID-19 virus, including the spike protein.""], 'single': ['The vaccine causes the body to produce the spike protein.', 'The body will be making all four proteins that make up the COVID-19 virus after the fourth shot.']}"
"COVID19 virus originated in a US Army lab at Fort Detrick, Maryland.","{'main': 'COVID19 virus originated in a US Army lab at Fort Detrick, Maryland.', 'combined': ['The COVID19 virus originated in a US Army lab', 'The US Army lab where the virus originated is located in Fort Detrick, Maryland'], 'single': ['The COVID19 virus originated in a lab', 'The lab is located in Fort Detrick, Maryland', 'The lab is affiliated with the US Army']}"
"The mRNA vaccine is “not even a vaccine,” it’s “an operating system that takes over the machinery of your cells”","{'main': 'The mRNA vaccine is “not even a vaccine,” it’s “an operating system that takes over the machinery of your cells”', 'combined': [""The mRNA vaccine is an operating system that takes over the machinery of your cells, implying it's not a traditional vaccine""], 'single': ['The mRNA vaccine is not a traditional vaccine', 'It takes over the machinery of your cells', ""It's an operating system""]}"
Scotland is spending more on health per head than the rest of the UK.,"{'main': 'Scotland is spending more on health per head than the rest of the UK.', 'combined': [], 'single': ['Scotland spends more on health per capita.', 'This expenditure is higher compared to the rest of the UK.']}"
U.S. Rep. Matt Gaetz was the lone vote in the House against an anti-human trafficking bill.,"{'main': 'U.S. Rep. Matt Gaetz was the lone vote in the House against an anti-human trafficking bill.', 'combined': [], 'single': ['U.S. Rep. Matt Gaetz voted against an anti-human trafficking bill.', 'He was the only one to do so in the House.']}"
Brihanmumbai Municipal Corporation (BMC) reported that a new variant of Covid-19 had emerged that only affected children and people aged below 30.,"{'main': 'Brihanmumbai Municipal Corporation (BMC) reported that a new variant of Covid-19 had emerged that only affected children and people aged below 30.', 'combined': [], 'single': ['BMC reported a new variant of Covid-19', 'The new variant only affects children and people aged below 30']}"
Nicola Sturgeon's government delayed the rollout of devolved social security benefits.,"{'main': ""Nicola Sturgeon's government delayed the rollout of devolved social security benefits."", 'combined': [], 'single': [""Nicola Sturgeon's government was responsible for the rollout of devolved social security benefits."", 'The rollout of devolved social security benefits was delayed.']}"
U.S. Rep. Matt Gaetz was the lone vote in the House against an anti-human trafficking bill.,"{'main': 'U.S. Rep. Matt Gaetz was the lone vote in the House against an anti-human trafficking bill.', 'combined': [], 'single': ['U.S. Rep. Matt Gaetz voted against an anti-human trafficking bill.', 'He was the only one to do so in the House.']}"
"Hillary Clinton faced a military tribunal on April 8, 2021","{'main': 'Hillary Clinton faced a military tribunal on April 8, 2021', 'combined': [], 'single': ['Hillary Clinton was involved in a legal proceeding', 'The legal proceeding was a military tribunal', 'The event occurred on April 8, 2021']}"
NESARA-enacting legislation was secretly signed into law by President Bill Clinton.,"{'main': 'NESARA-enacting legislation was secretly signed into law by President Bill Clinton.', 'combined': ['President Bill Clinton secretly signed NESARA-enacting legislation into law'], 'single': ['NESARA-enacting legislation was signed into law', 'President Bill Clinton signed the legislation', 'The signing of the legislation was secret']}"
The SNP promised in three manifestos to reform council tax but people are still paying council tax.,"{'main': 'The SNP promised in three manifestos to reform council tax but people are still paying council tax.', 'combined': [""The SNP's failure to deliver on their promise to reform council tax in three manifestos means that people are still paying council tax.""], 'single': ['The SNP promised to reform council tax in three manifestos.', 'People are still paying council tax.']}"
During the pandemic the Scottish Green party stopped evictions and negotiated support payments to the poorest families.,"{'main': 'During the pandemic the Scottish Green party stopped evictions and negotiated support payments to the poorest families.', 'combined': ['The Scottish Green party took measures to protect the poorest families during the pandemic by stopping evictions and negotiating support payments.'], 'single': ['During the pandemic, the Scottish Green party stopped evictions.', 'The Scottish Green party negotiated support payments to the poorest families.']}"
Hoisting the tricolor on government buildings has been made mandatory in Jammu and Kashmir,"{'main': 'Hoisting the tricolor on government buildings has been made mandatory in Jammu and Kashmir', 'combined': [], 'single': ['Hoisting the tricolor is mandatory in Jammu and Kashmir', 'It is required on government buildings']}"
Thieves are using face masks doused in chemicals to rob people.,"{'main': 'Thieves are using face masks doused in chemicals to rob people.', 'combined': ['Thieves are using face masks doused in chemicals as a tool to rob people.'], 'single': ['Thieves are using face masks to rob people.', 'Face masks are doused in chemicals.']}"
"Someone won a luxury RV worth $99,995 but failed to respond within the 48 time  limit, so the vehicle will be given to someone who shares the facebook post.","{'main': 'Someone won a luxury RV worth $99,995 but failed to respond within the 48 time  limit, so the vehicle will be given to someone who shares the facebook post.', 'combined': ['Since the winner failed to respond within the 48-hour time limit, the luxury RV will be given to someone who shares the Facebook post.'], 'single': ['Someone won a luxury RV worth $99,995.', 'The winner failed to respond within the 48-hour time limit.', 'The luxury RV will be given to someone who shares the Facebook post.']}"
"During the pandemic 25,000 calls to the NHS 24 helpline's mental health hub went unanswered.","{'main': ""During the pandemic 25,000 calls to the NHS 24 helpline's mental health hub went unanswered."", 'combined': [], 'single': ['The NHS 24 helpline has a mental health hub.', 'There were 25,000 calls to the mental health hub during the pandemic.', '25,000 calls to the mental health hub went unanswered.']}"
Loophole in Georgia election law allows voters to be given drinks other than water.,"{'main': 'Loophole in Georgia election law allows voters to be given drinks other than water.', 'combined': [], 'single': ['Georgia election law has a loophole.', 'The loophole allows voters to be given drinks other than water.']}"
Time Magazine Named (Assistant Secretary for Health) Rachel Levine 'Woman Of The Year',"{'main': ""Time Magazine Named (Assistant Secretary for Health) Rachel Levine 'Woman Of The Year'"", 'combined': [], 'single': [""Rachel Levine was named 'Woman of the Year' by Time Magazine."", 'Rachel Levine holds the position of Assistant Secretary for Health.']}"
New Zealand is the first country to pass a law providing bereavement leave for miscarriages and stillbirths.,"{'main': 'New Zealand is the first country to pass a law providing bereavement leave for miscarriages and stillbirths.', 'combined': ['New Zealand is a pioneer in providing bereavement leave for miscarriages and stillbirths through a newly passed law.'], 'single': ['New Zealand passed a law providing bereavement leave.', 'The law covers miscarriages and stillbirths.', 'New Zealand is the first country to do so.']}"
"US President Joe Biden put anti-abortion groups on domestic extremist list, calling them violent.","{'main': 'US President Joe Biden put anti-abortion groups on domestic extremist list, calling them violent.', 'combined': [], 'single': ['US President Joe Biden put anti-abortion groups on a domestic extremist list.', 'He called them violent.']}"
Georgia's New Voting Law Make It A 'Jail-Time Crime To Drop Off Grandma's Absentee Ballot',"{'main': ""Georgia's New Voting Law Make It A 'Jail-Time Crime To Drop Off Grandma's Absentee Ballot'"", 'combined': [""Under Georgia's new voting law, dropping off a grandparent's absentee ballot can result in jail time because it restricts who can return an absentee ballot on behalf of a voter.""], 'single': [""Georgia's new voting law makes it a crime to drop off someone else's absentee ballot"", ""Dropping off someone else's absentee ballot, such as a grandparent's, can lead to jail time"", 'The law restricts who can return an absentee ballot on behalf of a voter']}"
Russian military aggression is a “myth” created to justify rising NATO spending,"{'main': 'Russian military aggression is a “myth” created to justify rising NATO spending', 'combined': [], 'single': ['Russian military aggression is considered a myth', 'The myth is created to justify rising NATO spending']}"
